acc_train_p_1,acc_val_p_1,acc_train_p_2,acc_val_p_2,acc_train_p_3,acc_val_p_3,acc_train_p_4,acc_val_p_4,acc_train_p_5,acc_val_p_5
0.9474222585924713,0.9337016574585635,0.9644026186579379,0.9459791282995703,0.9807692307692307,0.9699201964395334,0.9867021276595744,0.9711479435236341,0.9842471358428805,0.9717618170656844
0.9576513911620295,0.94536525475752,0.9824058919803601,0.9736034376918354,0.9928396072013094,0.9809699201964396,0.9961129296235679,0.9791282995702886,0.9952945990180033,0.9772866789441375
0.9498772504091653,0.9349294045426643,0.9926350245499181,0.9791282995702886,0.9983633387888707,0.9815837937384899,0.9903846153846154,0.9772866789441375,0.9961129296235679,0.9766728054020871
0.9648117839607201,0.9484346224677717,0.9891571194762684,0.9760589318600368,0.9989770867430442,0.9846531614487416,0.9983633387888707,0.9828115408225906,0.9993862520458265,0.9834254143646409
0.9568330605564648,0.9367710251688153,0.9967266775777414,0.9809699201964396,0.9997954173486089,0.9840392879066913,0.9997954173486089,0.9834254143646409,0.9997954173486089,0.9815837937384899
0.9576513911620295,0.943523634131369,0.9967266775777414,0.9797421731123389,0.9995908346972177,0.9840392879066913,0.9997954173486089,0.9834254143646409,0.9993862520458265,0.9840392879066913
0.9588788870703764,0.937998772252916,0.9983633387888707,0.9797421731123389,1.0,0.9828115408225906,1.0,0.9840392879066913,0.9993862520458265,0.9834254143646409
0.9566284779050737,0.9386126457949663,0.9995908346972177,0.9834254143646409,1.0,0.9828115408225906,1.0,0.9840392879066913,1.0,0.9834254143646409
0.9590834697217676,0.9478207489257213,0.9977495908346972,0.9815837937384899,1.0,0.9828115408225906,1.0,0.9840392879066913,1.0,0.9834254143646409
0.962152209492635,0.9392265193370166,0.9995908346972177,0.9815837937384899,1.0,0.9828115408225906,1.0,0.9840392879066913,1.0,0.9834254143646409
0.962152209492635,0.9404542664211173,0.9987725040916531,0.9785144260282382,1.0,0.9828115408225906,1.0,0.9840392879066913,1.0,0.9834254143646409
0.9590834697217676,0.9429097605893186,0.9987725040916531,0.9791282995702886,1.0,0.9828115408225906,1.0,0.9840392879066913,1.0,0.9834254143646409
0.964607201309329,0.9422958870472683,0.9995908346972177,0.9797421731123389,1.0,0.9828115408225906,1.0,0.9840392879066913,1.0,0.9834254143646409
0.9656301145662848,0.9459791282995703,0.9983633387888707,0.9803560466543892,1.0,0.9828115408225906,1.0,0.9840392879066913,1.0,0.9834254143646409
0.954582651391162,0.9404542664211173,0.9932487725040916,0.9723756906077348,1.0,0.9828115408225906,1.0,0.9840392879066913,1.0,0.9834254143646409
