train,validation
0.9562193126022913,0.9447513812154696
0.9615384615384616,0.9496623695518723
0.9631751227495908,0.950890116635973
0.9662438625204582,0.950890116635973
0.9676759410801964,0.9502762430939227
0.967266775777414,0.950890116635973
0.9682896890343698,0.9515039901780233
0.9684942716857611,0.9521178637200737
0.9689034369885434,0.9521178637200737
0.9684942716857611,0.952731737262124
0.9699263502454992,0.9533456108041743
0.9699263502454992,0.952731737262124
0.9707446808510638,0.952731737262124
0.9705400981996727,0.952731737262124
0.970949263502455,0.9539594843462247
